지점,일시,수온(°C)
22441,2013-02-08 23:00,9.3
22441,2013-11-14 14:00,19.6
22442,2013-01-25 17:00,12.5
22442,2013-02-17 11:00,11.6
22442,2013-07-12 22:00,24.6
22442,2013-09-04 8:00,27.7
22442,2013-09-15 13:00,27.8
22442,2013-11-13 1:00,19.5
22442,2013-11-17 0:00,18.1
22443,2013-01-03 12:00,12
22443,2013-01-11 3:00,11.5
22443,2013-01-15 8:00,11.3
22443,2013-01-16 6:00,11.3
22443,2013-01-18 6:00,11
22443,2013-01-21 2:00,10.8
22443,2013-02-02 16:00,10.2
22443,2013-02-05 18:00,10
22443,2013-08-21 3:00,28.2
22443,2013-11-24 16:00,17.3
22443,2013-12-24 10:00,14.6
22444,2013-01-04 5:00,5.7
22444,2013-01-07 23:00,5.5
22444,2013-01-12 3:00,5.1
22444,2013-01-12 18:00,4.9
22444,2013-01-15 0:00,4.6
22444,2013-01-28 11:00,3.8
22444,2013-01-29 13:00,3.9
22444,2013-02-10 12:00,3.2
22444,2013-02-11 22:00,2.9
22444,2013-02-15 12:00,2.7
22444,2013-02-16 10:00,2.7
22444,2013-02-18 1:00,2.6
22444,2013-02-25 8:00,2.6
22444,2013-03-01 21:00,2.6
22444,2013-03-01 23:00,2.6
22444,2013-03-04 21:00,2.5
22444,2013-03-12 2:00,2.7
22444,2013-03-14 22:00,2.9
22444,2013-03-18 3:00,3
22444,2013-03-18 22:00,3.2
22444,2013-03-19 3:00,3
22444,2013-03-21 0:00,3
22444,2013-03-21 23:00,3.2
22444,2013-04-03 7:00,3.5
22444,2013-04-09 4:00,4
22444,2013-04-09 18:00,4.3
22444,2013-04-16 0:00,4.6
22444,2013-04-20 13:00,4.7
22444,2013-04-21 18:00,5.4
22444,2013-04-25 23:00,5.3
22444,2013-06-27 18:00,15
22444,2013-07-12 5:00,19.5
22444,2013-08-13 6:00,25.4
22444,2013-09-11 9:00,22.1
22444,2013-11-10 17:00,15.1
22444,2013-11-21 1:00,13.1
22444,2013-12-10 11:00,11.1
22444,2013-12-11 21:00,10.8
22445,2013-01-03 6:00,5.1
22445,2013-01-11 3:00,4
22445,2013-01-13 17:00,4.9
22445,2013-01-19 1:00,4.2
22445,2013-01-31 2:00,4.1
22445,2013-02-11 16:00,3.4
22445,2013-02-16 21:00,3.8
22445,2013-02-17 9:00,3.7
22445,2013-02-20 7:00,2.8
22445,2013-02-22 1:00,3.3
22445,2013-03-03 16:00,4.4
22445,2013-03-03 19:00,4
22445,2013-03-11 2:00,4.1
22445,2013-07-24 2:00,26.1
22445,2013-07-25 12:00,27.4
22445,2013-08-20 18:00,30.5
22445,2013-09-03 16:00,26.6
22445,2013-09-05 8:00,25.3
22445,2013-09-08 16:00,22.5
22445,2013-09-13 17:00,23.2
22445,2013-10-24 20:00,18.4
22446,2013-01-01 4:00,8.6
22446,2013-01-03 17:00,8.2
22446,2013-04-18 15:00,10.7
22446,2013-05-04 16:00,12.7
22446,2013-06-06 21:00,19.9
22446,2013-07-24 4:00,24.9
22446,2013-08-21 6:00,26.2
22446,2013-09-07 3:00,22.3
22446,2013-10-23 14:00,18.7
22447,2013-03-01 19:00,7.1
22447,2013-03-15 13:00,8.9
22447,2013-03-15 19:00,8.5
22447,2013-03-15 20:00,8.5
22447,2013-03-16 10:00,8.6
22447,2013-03-16 23:00,8.6
22447,2013-03-17 0:00,8.6
22447,2013-03-17 5:00,9.1
22447,2013-03-17 10:00,8.8
22447,2013-03-17 11:00,8.9
22447,2013-03-17 12:00,8.9
22447,2013-03-17 22:00,8.9
22447,2013-03-18 6:00,9.1
22447,2013-03-18 10:00,9
22447,2013-03-19 7:00,9
22447,2013-03-21 5:00,8.8
22447,2013-03-21 10:00,9
22447,2013-03-21 19:00,8.6
22447,2013-03-22 6:00,8.6
22447,2013-03-22 8:00,8.6
22447,2013-03-22 11:00,8.9
22447,2013-03-22 19:00,8.6
22447,2013-03-22 20:00,8.5
22447,2013-03-22 23:00,8.6
22447,2013-03-23 2:00,8.5
22447,2013-03-23 10:00,8.8
22447,2013-03-23 19:00,8.7
22447,2013-03-23 22:00,8.8
22447,2013-03-24 7:00,8.6
22447,2013-03-24 8:00,8.6
22447,2013-03-24 22:00,8.7
22447,2013-03-25 0:00,8.9
22447,2013-03-25 3:00,8.7
22447,2013-03-25 4:00,8.6
22447,2013-03-25 9:00,8.6
22447,2013-03-25 10:00,8.6
22447,2013-03-25 11:00,8.8
22447,2013-03-26 0:00,8.5
22447,2013-03-26 1:00,8.5
22447,2013-03-26 5:00,8.5
22447,2013-03-26 8:00,8.4
22447,2013-03-26 9:00,8.4
22447,2013-03-26 20:00,8.7
22447,2013-03-27 19:00,9.2
22447,2013-03-28 1:00,9.6
22447,2013-03-28 7:00,9.1
22447,2013-03-28 8:00,9.1
22447,2013-03-29 11:00,9.4
22447,2013-03-30 19:00,9.6
22447,2013-03-31 0:00,9.4
22447,2013-04-02 0:00,9.7
22447,2013-04-02 2:00,9.8
22447,2013-04-05 0:00,10
22447,2013-04-05 1:00,10
22447,2013-04-05 4:00,9.9
22447,2013-04-05 7:00,10.1
22447,2013-04-05 23:00,10.5
22447,2013-04-06 0:00,10.2
22447,2013-04-08 0:00,9.6
22447,2013-04-08 7:00,9.3
22447,2013-04-08 8:00,9.3
22447,2013-04-08 9:00,9.5
22447,2013-04-08 23:00,9.7
22447,2013-04-09 3:00,9.6
22447,2013-04-09 4:00,9.7
22447,2013-04-10 0:00,10.2
22447,2013-04-10 4:00,9.7
22447,2013-04-10 8:00,9.7
22447,2013-04-10 9:00,9.8
22447,2013-04-10 23:00,10
22447,2013-04-11 0:00,10.3
22447,2013-04-11 23:00,10.1
22447,2013-04-12 3:00,10.2
22447,2013-04-12 4:00,10.1
22447,2013-04-13 2:00,10.7
22447,2013-04-13 3:00,10.3
22447,2013-04-13 6:00,10.2
22447,2013-04-13 7:00,10.5
22447,2013-04-13 21:00,10.7
22447,2013-04-14 7:00,10.7
22447,2013-04-16 0:00,10.9
22447,2013-04-16 1:00,11
22447,2013-04-17 22:00,11.6
22447,2013-04-18 1:00,11.6
22447,2013-04-18 6:00,11.7
22447,2013-04-18 21:00,11.5
22447,2013-04-19 9:00,11.6
22447,2013-04-19 10:00,11.6
22447,2013-04-19 18:00,11.9
22447,2013-04-19 21:00,11.7
22447,2013-04-20 1:00,11.6
22447,2013-04-20 3:00,11.6
22447,2013-04-20 4:00,11.6
22447,2013-04-20 8:00,11.6
22447,2013-04-20 9:00,11.7
22447,2013-04-20 11:00,11.7
22447,2013-04-20 17:00,11.5
22447,2013-04-20 18:00,11.5
22447,2013-04-20 23:00,11.4
22447,2013-04-21 0:00,11.4
22447,2013-04-21 8:00,11.4
22447,2013-04-21 22:00,11.6
22447,2013-04-22 2:00,11.4
22447,2013-04-22 3:00,11.5
22447,2013-04-22 5:00,11.4
22447,2013-04-22 9:00,11.6
22447,2013-04-23 2:00,11.9
22447,2013-04-23 3:00,11.8
22447,2013-04-23 8:00,11.7
22447,2013-04-23 22:00,11.8
22447,2013-04-24 2:00,11.8
22447,2013-04-24 5:00,11.8
22447,2013-04-24 8:00,11.8
22447,2013-04-25 5:00,12
22447,2013-04-25 20:00,12
22447,2013-04-25 21:00,12
22447,2013-04-27 2:00,12.3
22447,2013-04-27 5:00,12.2
22447,2013-04-27 8:00,12.2
22447,2013-04-27 22:00,12.3
22447,2013-04-28 0:00,12.3
22447,2013-04-29 22:00,12.9
22447,2013-04-30 5:00,12.6
22447,2013-04-30 6:00,12.2
22447,2013-04-30 20:00,13
22447,2013-04-30 21:00,13
22447,2013-05-01 2:00,13
22447,2013-05-01 4:00,12.9
22447,2013-05-01 5:00,12.8
22447,2013-05-01 20:00,13.2
22447,2013-05-01 21:00,13.1
22447,2013-05-02 0:00,13.1
22447,2013-05-02 2:00,13
22447,2013-05-02 3:00,13.1
22447,2013-05-02 8:00,13
22447,2013-05-02 23:00,13.3
22447,2013-05-03 0:00,13.2
22447,2013-05-03 2:00,13.2
22447,2013-05-03 3:00,13.1
22447,2013-05-03 7:00,13.1
22447,2013-05-03 22:00,13.3
22447,2013-05-03 23:00,13.4
22447,2013-05-04 2:00,13.4
22447,2013-05-04 5:00,13.4
