지점,일시,수온(°C)
22441,2012-01-01 1:00,12.6
22441,2012-01-01 2:00,12.6
22441,2012-01-01 3:00,12.9
22441,2012-01-01 4:00,13
22441,2012-01-01 5:00,13.1
22441,2012-01-01 6:00,13.1
22441,2012-01-01 7:00,13
22441,2012-01-01 8:00,13
22441,2012-01-01 9:00,12.9
22441,2012-01-01 13:00,12.6
22441,2012-01-01 21:00,12.6
22441,2012-01-01 22:00,12.5
22441,2012-01-02 6:00,12.5
22441,2012-01-03 8:00,12.2
22441,2012-01-03 15:00,12.4
22441,2012-01-03 16:00,12
22441,2012-01-03 17:00,12.4
22441,2012-01-04 8:00,12
22441,2012-01-04 18:00,12
22441,2012-01-05 9:00,12.3
22441,2012-01-05 20:00,12.7
22441,2012-01-06 1:00,12.5
22441,2012-01-06 2:00,12.5
22441,2012-01-06 10:00,13
22441,2012-01-06 11:00,13
22441,2012-01-06 19:00,13.4
22441,2012-01-07 12:00,12.8
22441,2012-01-07 13:00,12.9
22441,2012-01-07 14:00,12.9
22441,2012-01-08 8:00,12.9
22441,2012-01-08 15:00,12.9
22441,2012-05-03 23:00,14.3
22441,2012-05-11 23:00,14.6
22441,2012-05-12 2:00,14.4
22441,2012-05-13 9:00,14.5
22442,2012-01-01 1:00,13.7
22442,2012-01-01 2:00,13.7
22442,2012-01-01 3:00,13.6
22442,2012-01-01 4:00,13.6
22442,2012-01-01 5:00,13.6
22442,2012-01-01 6:00,13.5
22442,2012-01-01 7:00,13.5
22442,2012-01-01 8:00,13.5
22442,2012-01-01 9:00,13.5
22442,2012-01-11 5:00,12.6
22442,2012-01-11 6:00,12.6
22442,2012-01-11 7:00,12.4
22442,2012-01-11 8:00,12.4
22442,2012-01-11 9:00,12.4
22442,2012-01-11 10:00,12.2
22442,2012-01-11 11:00,12.2
22442,2012-01-11 12:00,12
22442,2012-01-11 13:00,12.1
22442,2012-01-11 14:00,12.1
22442,2012-01-11 15:00,12
22442,2012-01-11 16:00,11.9
22442,2012-01-11 17:00,11.9
22442,2012-01-11 19:00,11.7
22442,2012-01-11 20:00,11.7
22442,2012-01-11 21:00,11.5
22442,2012-01-11 22:00,11.4
22442,2012-01-11 23:00,11.5
22442,2012-01-12 0:00,11.4
22442,2012-01-12 1:00,11.4
22442,2012-01-12 2:00,11.3
22442,2012-01-12 3:00,11.4
22442,2012-01-12 4:00,11.3
22442,2012-01-12 5:00,11.3
22442,2012-01-12 6:00,11.3
22442,2012-01-12 7:00,11.2
22442,2012-01-12 8:00,11.2
22442,2012-01-12 9:00,11.5
22442,2012-01-12 10:00,11.6
22442,2012-01-12 11:00,11.6
22442,2012-01-12 12:00,11.8
22442,2012-01-12 13:00,11.8
22442,2012-01-12 14:00,11.7
22442,2012-05-01 0:00,12.1
22442,2012-05-01 1:00,11.8
22442,2012-05-01 2:00,11.7
22442,2012-05-01 3:00,11.2
22442,2012-05-01 4:00,10.9
22442,2012-05-01 5:00,11
22442,2012-05-01 6:00,11.3
22442,2012-05-01 7:00,11.4
22442,2012-05-01 8:00,11.5
22442,2012-05-01 9:00,12.7
22442,2012-05-01 10:00,12.8
22442,2012-05-01 11:00,12.4
22442,2012-05-01 12:00,12.9
22442,2012-05-01 13:00,12.9
22442,2012-05-01 14:00,14
22442,2012-05-01 15:00,13.4
22442,2012-05-01 16:00,14.8
22442,2012-05-01 17:00,13.7
22442,2012-05-01 18:00,13.8
22442,2012-05-01 19:00,14.8
22442,2012-05-01 20:00,14.1
22442,2012-05-01 21:00,14
22442,2012-05-01 22:00,14.4
22442,2012-05-01 23:00,14.9
22442,2012-05-02 0:00,15
22442,2012-05-02 1:00,14.8
22442,2012-05-02 2:00,14.5
22442,2012-05-02 3:00,14.1
22442,2012-05-02 4:00,13.5
22442,2012-05-02 5:00,12.5
22442,2012-05-02 6:00,13.8
22442,2012-05-02 7:00,13.3
22442,2012-05-02 8:00,13
22442,2012-05-02 9:00,12.8
22442,2012-05-02 10:00,12.7
22442,2012-05-02 11:00,12.5
22442,2012-05-02 12:00,12.4
22442,2012-05-02 13:00,12.3
22442,2012-05-02 14:00,11.9
22442,2012-05-02 15:00,11.5
22442,2012-05-02 16:00,11.5
22442,2012-05-02 17:00,11.5
22442,2012-05-02 18:00,11.5
22442,2012-05-02 19:00,12
22442,2012-05-02 20:00,12
22442,2012-05-02 21:00,12
22442,2012-05-02 22:00,12.8
22442,2012-05-02 23:00,13
22442,2012-05-03 0:00,13.1
22442,2012-05-03 1:00,12.8
22442,2012-05-03 2:00,13
22442,2012-05-03 3:00,12
22442,2012-05-03 4:00,12.1
22442,2012-05-03 5:00,12.3
22442,2012-05-03 6:00,12.4
22442,2012-05-03 7:00,12.3
22442,2012-05-03 8:00,12.2
