지점,일시,풍속(m/s),풍향(deg),현지기압(hPa),습도(%),기온(°C),수온(°C)
22191,2019-11-01 17:00:00,7.6,166.0,1019.9,55.0,17.1,21.2
22191,2019-11-01 18:00:00,7.5,168.0,1020.3,56.0,17.1,19.8
22191,2019-11-01 19:00:00,7.5,177.0,1020.4,57.0,17.1,19.1
22191,2019-11-01 20:00:00,5.8,188.0,1020.5,56.0,16.9,18.7
22191,2019-11-01 21:00:00,5.8,191.0,1020.3,49.0,16.5,18.2
22191,2019-11-01 22:00:00,1.4,283.0,1020.9,57.0,15.7,17.6
22191,2019-11-01 23:00:00,0.6,266.0,1020.8,56.0,15.2,17.1
22191,2019-11-05 10:00:00,8.5,337.0,1022.0,57.0,14.5,17.9
22191,2019-11-05 11:00:00,6.0,205.0,1022.0,58.0,14.7,17.9
22191,2019-11-05 12:00:00,6.7,149.0,1021.8,59.0,14.8,17.9
22191,2019-11-05 13:00:00,6.0,236.0,1020.9,66.0,15.0,18.0
22191,2019-11-05 14:00:00,5.0,247.0,1020.2,65.0,15.2,18.0
22191,2019-11-05 15:00:00,6.8,125.0,1020.1,67.0,15.3,18.0
22191,2019-11-05 16:00:00,6.8,187.0,1020.2,69.0,15.3,18.0
22191,2019-11-05 17:00:00,6.9,175.0,1020.2,71.0,15.3,18.0
22191,2019-11-05 18:00:00,5.8,164.0,1020.0,72.0,15.0,18.0
22191,2019-11-05 19:00:00,5.9,275.0,1019.9,60.0,15.3,17.9
22191,2019-11-05 20:00:00,6.3,19.0,1019.8,60.0,15.4,17.9
22191,2019-11-05 21:00:00,5.5,32.0,1020.1,70.0,15.1,17.9
22191,2019-11-05 22:00:00,5.4,23.0,1020.2,68.0,15.0,17.9
22191,2019-11-05 23:00:00,5.4,24.0,1020.3,70.0,14.8,17.9
22191,2019-11-06 00:00:00,4.9,72.0,1020.2,68.0,14.7,17.9
22191,2019-11-06 01:00:00,5.0,34.0,1019.9,69.0,14.6,17.9
22191,2019-11-06 02:00:00,5.6,41.0,1019.9,69.0,14.5,17.9
22191,2019-11-06 03:00:00,6.6,301.0,1019.8,69.0,14.4,17.9
22191,2019-11-06 04:00:00,5.7,245.0,1019.4,70.0,14.3,17.8
