지점,일시,풍속(m/s),풍향(deg),현지기압(hPa),습도(%),기온(°C),수온(°C)
22298,2020-02-24 13:00:00,5.5,160.0,1023.5,84.0,9.5,9.1
22298,2020-02-24 14:00:00,5.1,162.0,1022.4,84.0,9.7,9.1
22298,2020-02-24 15:00:00,4.5,159.0,1021.6,86.0,9.7,9.0
22298,2020-02-24 16:00:00,4.3,152.0,1020.9,85.0,10.0,9.1
22298,2020-02-24 17:00:00,4.7,150.0,1020.3,85.0,10.2,9.2
22298,2020-02-24 18:00:00,4.0,158.0,1020.3,87.0,10.1,9.1
22298,2020-02-24 19:00:00,4.5,145.0,1019.9,86.0,10.7,9.0
22298,2020-02-24 20:00:00,4.8,133.0,1020.3,85.0,10.9,8.9
22298,2020-02-24 21:00:00,2.9,117.0,1020.3,87.0,10.3,8.9
22298,2020-02-24 22:00:00,5.7,137.0,1019.6,86.0,11.3,8.9
22298,2020-02-25 00:00:00,4.8,172.0,1018.4,80.0,11.0,8.9
22298,2020-02-25 01:00:00,4.7,194.0,1017.3,85.0,10.2,8.9
22298,2020-02-25 02:00:00,8.0,186.0,1015.9,89.0,10.3,8.9
22298,2020-02-25 03:00:00,7.7,181.0,1015.2,91.0,10.5,8.8
22298,2020-02-25 04:00:00,6.2,180.0,1014.4,91.0,10.3,8.8
22298,2020-02-25 05:00:00,3.1,160.0,1013.7,90.0,10.7,8.8
22298,2020-02-25 06:00:00,3.8,161.0,1013.1,90.0,10.5,8.8
22298,2020-02-25 07:00:00,2.3,144.0,1012.9,90.0,10.4,8.8
22298,2020-02-25 08:00:00,4.3,124.0,1012.9,91.0,11.0,8.8
22298,2020-02-25 09:00:00,6.9,224.0,1013.4,90.0,12.4,8.9
22298,2020-02-25 10:00:00,5.3,233.0,1014.0,90.0,11.4,8.8
22298,2020-02-25 11:00:00,4.6,225.0,1013.4,93.0,11.1,8.8
22298,2020-02-25 12:00:00,4.7,209.0,1012.9,93.0,11.4,8.8
22298,2020-02-25 13:00:00,4.7,202.0,1012.2,89.0,11.4,8.8
22298,2020-02-25 14:00:00,6.8,240.0,1011.6,91.0,10.7,8.8
22298,2020-02-25 15:00:00,6.3,251.0,1011.5,89.0,10.5,8.9
22298,2020-02-25 16:00:00,4.5,270.0,1011.9,90.0,10.0,8.9
22298,2020-02-25 17:00:00,4.9,303.0,1012.4,94.0,9.7,8.9
22298,2020-02-25 18:00:00,6.1,324.0,1013.3,94.0,9.4,8.8
22298,2020-02-25 19:00:00,8.8,349.0,1014.2,90.0,8.5,8.8
22298,2020-02-25 20:00:00,10.2,352.0,1015.2,89.0,7.9,8.9
22298,2020-02-25 21:00:00,9.7,355.0,1016.2,89.0,8.2,8.8
22298,2020-02-25 22:00:00,9.5,2.0,1017.0,87.0,8.3,8.8
22298,2020-02-25 23:00:00,10.0,5.0,1017.3,86.0,8.5,8.8
22298,2020-02-26 00:00:00,8.6,359.0,1018.3,84.0,8.7,8.8
22298,2020-02-26 01:00:00,8.4,6.0,1018.4,83.0,8.5,8.8
22298,2020-02-26 02:00:00,7.4,10.0,1019.0,82.0,8.6,8.8
22298,2020-02-26 03:00:00,6.4,4.0,1019.3,83.0,8.6,8.8
22298,2020-02-26 04:00:00,6.9,360.0,1019.3,81.0,8.4,8.8
22298,2020-02-26 05:00:00,8.0,2.0,1019.6,78.0,8.4,8.8
22298,2020-02-26 06:00:00,7.7,5.0,1020.3,79.0,8.2,8.8
22298,2020-02-26 07:00:00,7.4,9.0,1021.3,78.0,8.3,8.8
22298,2020-02-26 08:00:00,7.5,6.0,1022.7,77.0,8.4,8.8
22298,2020-02-26 09:00:00,7.8,2.0,1023.5,78.0,8.5,8.8
22298,2020-02-26 10:00:00,8.6,15.0,1023.9,75.0,8.7,8.8
22298,2020-02-26 11:00:00,6.7,19.0,1023.8,78.0,8.4,8.8
22298,2020-02-26 12:00:00,6.4,15.0,1023.9,78.0,8.5,8.9
22298,2020-02-26 13:00:00,7.2,358.0,1023.9,77.0,8.3,8.9
22298,2020-02-26 14:00:00,6.7,355.0,1023.8,78.0,8.5,8.9
22298,2020-02-26 15:00:00,7.3,347.0,1023.8,75.0,8.5,8.9
22298,2020-02-26 16:00:00,7.1,349.0,1023.9,79.0,8.6,8.9
22298,2020-02-26 17:00:00,8.5,342.0,1024.4,75.0,8.6,8.9
22298,2020-02-26 18:00:00,9.4,350.0,1024.5,75.0,7.9,8.9
22298,2020-02-26 19:00:00,9.7,351.0,1025.3,73.0,7.4,8.9
